fld_num,fld_names,lift,precision,recall,tot_lift,tot_recall,tot_prec
36,q_rh_low_30M^q_rh_low_10M^q_rh_close_20M^q_rl_high_30M^q_sma_high_20M_pdif^q_sma_low_15M_pdif^prpsl_low_360M,0.81031,0.83801,0.04151,0.71493,0.00737,0.8785
40,q_rl_close_30M^q_slope_close_3M^q_rh_close_30M^q_rl_close_30M^q_rh_low_10M^q_sma_volume_10M_pdif^q_slope_close_15M,0.8123,0.84,0.02917,0.6942,0.00504,0.85778
14,prpsl_low_10M^q_slope_close_3M^prpsh_high_15M^q_rh_close_5M^q_sma_close_10M_pdif^prpsl_low_10M^q_rh_low_30M,0.81336,0.84106,0.0196,0.70397,0.00342,0.86755
23,prpsl_low_300M^q_rl_low_20M^q_sma_volume_10M_pdif^prpsh_high_240M^q_rl_high_30M^prpsl_low_60M^q_rh_close_20M,0.81211,0.83981,0.0267,0.72477,0.00478,0.88835
44,q_rl_low_10M^q_slope_close_10M^q_rh_high_30M^q_rl_close_30M^q_sma_close_7M_pdif^q_sma_close_20M_pdif^q_slope_close_15M,0.81192,0.83962,0.02747,0.71378,0.00486,0.87736
37,q_rl_close_5M^prpsh_high_15M^q_rl_low_10M^q_sma_volume_7M_pdif^prpsh_high_10M^q_rh_high_10M^q_rh_low_30M,0.81175,0.83945,0.02824,0.68964,0.00486,0.85321
38,q_rl_close_10M^q_sma_low_10M_pdif^q_rl_high_30M^prpsl_low_300M^q_sma_volume_7M_pdif^q_rh_high_30M^q_rl_high_10M,0.80718,0.83488,0.0554,0.72712,0.01001,0.8907
42,q_rl_high_20M^q_rh_high_5M^q_rh_close_5M^q_rl_close_20M^q_sma_close_20M_pdif^prpsh_high_300M^q_rh_low_20M,0.81054,0.83824,0.03519,0.7151,0.00625,0.87868
45,q_rl_low_20M^q_sma_low_10M_pdif^q_sma_high_20M_pdif^q_rh_low_30M^q_rh_high_10M^prpsh_high_240M^q_rl_close_20M,0.81065,0.83835,0.03441,0.70485,0.00604,0.86842
41,q_rl_high_10M^prpsh_high_240M^q_rh_high_20M^q_rh_low_10M^q_rh_low_20M^q_sma_close_15M_pdif^q_sma_close_20M_pdif,0.81101,0.83871,0.0321,0.69933,0.00559,0.8629
40,q_rl_close_30M^q_rh_close_20M^prpsh_high_240M^q_sma_low_7M_pdif^q_sma_low_10M_pdif^q_rh_low_20M^q_rh_low_30M,0.80841,0.83611,0.04645,0.72531,0.00836,0.88889
37,q_rl_close_5M^prpsl_low_180M^q_sma_low_15M_pdif^q_slope_close_15M^q_rl_close_30M^q_rh_low_10M^q_sma_high_20M_pdif,0.81187,0.83957,0.02423,0.71878,0.00431,0.88235
6,prpsh_high_60M^q_rh_low_20M^q_rh_high_20M^q_rl_low_20M^q_sma_close_7M_pdif^prpsh_high_20M^q_rl_high_30M,0.81168,0.83938,0.025,0.73798,0.00455,0.90155
6,prpsh_high_60M^q_rh_high_30M^q_rh_close_10M^q_rl_low_30M^q_sma_close_30M_pdif^q_rl_low_20M^q_sma_close_15M_pdif,0.81025,0.83794,0.03272,0.70994,0.00578,0.87352
