"pred_ndx","pred_stat","pred_class","actual_class","pred_prob"
72956,"G",2,2,0.5229521
72957,"G",2,2,0.5217781
72958,"G",2,2,0.5222329
72959,"G",2,2,0.51921606
72962,"G",2,2,0.5192454
72963,"G",2,2,0.52308255
72964,"G",2,2,0.52124006
72965,"G",2,2,0.5211251
72966,"G",2,2,0.5233396
72967,"G",2,2,0.5199795
72969,"G",2,2,0.51929474
72970,"G",2,2,0.5192048
72979,"G",2,2,0.51960856
72982,"G",2,2,0.5207575
72983,"G",2,2,0.52091414
72984,"G",2,2,0.5210331
72985,"G",2,2,0.52332556
72986,"G",2,2,0.5227519
72987,"G",2,2,0.5233996
72988,"G",2,2,0.5233032
72989,"G",2,2,0.5225944
72990,"G",2,2,0.52145964
72991,"G",2,2,0.5213763
72992,"G",2,2,0.51988626
72993,"G",2,2,0.5208503
72994,"G",2,2,0.5194183
72995,"G",2,2,0.5197749
73001,"G",2,2,0.5196594
73002,"G",2,2,0.5193386
73003,"G",2,2,0.52171594
73004,"G",2,2,0.52171594
73005,"G",2,2,0.5220368
73006,"G",2,2,0.51927143
73007,"G",2,2,0.5221529
73008,"G",2,2,0.5193072
73028,"B",2,1,0.51953477
73032,"G",2,2,0.51924634
73033,"G",2,2,0.5209314
73034,"G",2,2,0.52339506
73035,"G",2,2,0.52278656
73036,"G",2,2,0.5226887
73037,"G",2,2,0.52322763
73038,"G",2,2,0.52271265
73039,"G",2,2,0.521404
73040,"G",2,2,0.5216879
73041,"G",2,2,0.52383786
73042,"G",2,2,0.52279645
73043,"G",2,2,0.52189064
73044,"G",2,2,0.521838
73045,"G",2,2,0.52363086
73046,"G",2,2,0.52554333
73047,"G",2,2,0.52025324
73048,"G",2,2,0.52025324
73049,"G",2,2,0.5194069
73050,"G",2,2,0.5197184
73070,"G",2,2,0.5225323
73071,"G",2,2,0.5257711
73075,"G",2,2,0.5215692
73077,"G",2,2,0.5203198
73083,"G",2,2,0.5246656
73084,"G",2,2,0.5239005
73085,"G",2,2,0.5280198
73086,"G",2,2,0.5285179
73087,"G",2,2,0.529501
73088,"G",2,2,0.5279467
73089,"G",2,2,0.52757597
73090,"G",2,2,0.52925086
73091,"G",2,2,0.5285143
73092,"G",2,2,0.5267024
73093,"G",2,2,0.5226129
73094,"G",2,2,0.5224922
73095,"G",2,2,0.5209969
73096,"G",2,2,0.5200545
73103,"G",2,2,0.520034
73106,"B",2,1,0.5254611
73107,"B",2,1,0.523097
73109,"B",2,1,0.52493954
73116,"B",2,1,0.51960695
73136,"B",2,1,0.51976734
73142,"G",2,2,0.5197199
73143,"G",2,2,0.52057797
73144,"G",2,2,0.5206484
73145,"G",2,2,0.52005494
73146,"G",2,2,0.524008
73147,"G",2,2,0.5229551
73148,"G",2,2,0.5229551
73153,"G",2,2,0.5196764
73157,"G",2,2,0.5207502
73158,"G",2,2,0.5192306
73159,"G",2,2,0.5204362
73160,"G",2,2,0.52060574
73161,"G",2,2,0.5198359
73162,"G",2,2,0.5193191
73163,"G",2,2,0.51940936
73164,"B",2,1,0.52111477
73168,"G",2,2,0.5194228
73189,"B",2,1,0.52152956
73190,"B",2,1,0.5195055
73191,"B",2,1,0.52242285
73192,"B",2,1,0.52181214
73193,"B",2,1,0.52132833
73194,"B",2,1,0.52275175
73195,"B",2,1,0.52116644
73196,"B",2,1,0.5195905
73197,"B",2,1,0.5208421
73199,"B",2,1,0.5207244
73200,"B",2,1,0.5212383
73204,"B",2,1,0.51939124
73208,"G",2,2,0.51960206
73212,"G",2,2,0.52051955
73213,"G",2,2,0.52115226
73214,"G",2,2,0.52044654
73215,"G",2,2,0.52125686
73216,"G",2,2,0.52131
73217,"G",2,2,0.5241241
73218,"G",2,2,0.52400243
73219,"G",2,2,0.52522767
73220,"G",2,2,0.52505356
73221,"G",2,2,0.52392435
73222,"G",2,2,0.5251816
73223,"G",2,2,0.52233917
73224,"G",2,2,0.5252433
73225,"G",2,2,0.5234267
73226,"G",2,2,0.5216107
73227,"G",2,2,0.52310514
73228,"G",2,2,0.5239245
73229,"G",2,2,0.5237864
73230,"G",2,2,0.5223825
73231,"G",2,2,0.52250147
73232,"G",2,2,0.5227743
73233,"G",2,2,0.5214005
73234,"G",2,2,0.52280194
73235,"G",2,2,0.5216973
73236,"G",2,2,0.5200881
73237,"G",2,2,0.52077967
73238,"G",2,2,0.5230641
73239,"G",2,2,0.52102673
73240,"G",2,2,0.52155006
73241,"G",2,2,0.5214404
73242,"G",2,2,0.52064705
73243,"G",2,2,0.5193955
73244,"G",2,2,0.5209041
73245,"G",2,2,0.5203792
73246,"G",2,2,0.523975
73247,"G",2,2,0.5208713
73248,"G",2,2,0.52229923
73249,"G",2,2,0.52111894
73266,"B",2,1,0.52246165
73267,"B",2,1,0.52376026
73289,"B",2,1,0.5283966
73291,"B",2,1,0.52832603
73293,"B",2,1,0.53077906
73294,"G",2,2,0.5303611
73295,"G",2,2,0.5309795
73296,"G",2,2,0.5320169
73297,"G",2,2,0.53016174
73298,"G",2,2,0.52909505
73299,"G",2,2,0.5287725
73300,"G",2,2,0.53038347
73301,"G",2,2,0.5303834
73302,"G",2,2,0.5246651
73303,"G",2,2,0.5287964
73304,"G",2,2,0.5287581
73305,"G",2,2,0.5289616
73306,"G",2,2,0.5290373
73307,"G",2,2,0.52681553
73308,"G",2,2,0.52937865
73309,"G",2,2,0.52447695
73310,"G",2,2,0.52744776
73311,"G",2,2,0.5264893
73312,"G",2,2,0.53166103
73313,"G",2,2,0.52942884
73314,"G",2,2,0.52745134
73315,"G",2,2,0.5273658
73316,"G",2,2,0.52395266
73317,"G",2,2,0.529889
73318,"G",2,2,0.5292596
73319,"G",2,2,0.5302201
73320,"G",2,2,0.5296836
73321,"G",2,2,0.52965283
73322,"G",2,2,0.52726626
73323,"G",2,2,0.5233722
73324,"G",2,2,0.5293849
73325,"G",2,2,0.5211351
73326,"G",2,2,0.5220772
73327,"G",2,2,0.52063125
73328,"G",2,2,0.5232708
73329,"G",2,2,0.5241343
73330,"G",2,2,0.52732915
73331,"G",2,2,0.52393955
73332,"G",2,2,0.52364093
73333,"B",2,1,0.52614
73334,"B",2,1,0.5255958
73338,"B",2,1,0.5271264
73342,"B",2,1,0.52573663
73343,"B",2,1,0.52323914
73345,"B",2,1,0.5211642
73346,"B",2,1,0.5275519
73347,"B",2,1,0.5249115
